"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2019","1,194.01","1,195.94","1,202.63","1,191.30","","-0.26%"
"06/24/2019","1,197.18","1,193.67","1,198.79","1,191.92","","0.12%"
"06/21/2019","1,195.80","1,206.08","1,206.38","1,193.73","","-0.92%"
"06/20/2019","1,206.90","1,206.33","1,209.26","1,203.43","","0.29%"
"06/19/2019","1,203.40","1,196.85","1,204.09","1,195.33","","1.71%"
"06/18/2019","1,183.16","1,190.32","1,194.55","1,180.68","","-0.63%"
"06/17/2019","1,190.72","1,192.02","1,196.32","1,190.67","","-0.42%"
"06/14/2019","1,195.69","1,193.13","1,196.52","1,187.05","","0.32%"
"06/13/2019","1,191.85","1,194.51","1,197.31","1,185.22","","-0.77%"
"06/12/2019","1,201.09","1,201.62","1,208.32","1,200.83","","-0.48%"
"06/11/2019","1,206.91","1,199.79","1,207.85","1,198.05","","0.55%"
"06/10/2019","1,200.33","1,194.82","1,203.02","1,193.10","","1.35%"
"06/07/2019","1,184.38","1,182.36","1,185.05","1,179.29","","0.45%"
"06/06/2019","1,179.10","1,179.90","1,184.45","1,178.38","","-0.31%"
"06/05/2019","1,182.74","1,175.84","1,183.89","1,174.22","","2.04%"
"06/04/2019","1,159.15","1,161.68","1,163.37","1,153.15","","-0.07%"
"06/03/2019","1,159.92","1,153.12","1,161.15","1,152.35","","-0.79%"
"05/31/2019","1,169.20","1,176.35","1,178.55","1,168.87","","-1.32%"
"05/30/2019","1,184.87","1,180.42","1,185.20","1,176.46","","-0.27%"
"05/29/2019","1,188.10","1,187.88","1,189.44","1,178.92","","-0.96%"
"05/28/2019","1,199.61","1,196.16","1,202.79","1,195.18","","0.27%"
"05/27/2019","1,196.43","1,192.98","1,197.93","1,190.70","","0.38%"
"05/24/2019","1,191.96","1,181.45","1,192.03","1,179.54","","0.01%"
"05/23/2019","1,191.81","1,190.24","1,194.60","1,187.75","","-0.36%"
"05/22/2019","1,196.06","1,204.56","1,205.70","1,195.89","","-0.28%"
"05/21/2019","1,199.43","1,196.70","1,201.83","1,193.56","","-0.28%"
"05/20/2019","1,202.85","1,202.81","1,208.90","1,199.91","","0.11%"
"05/17/2019","1,201.55","1,198.80","1,208.24","1,194.78","","1.06%"
"05/16/2019","1,188.98","1,193.52","1,193.52","1,181.54","","-0.43%"
